iter	Passed	Remaining
401	14269	38976
402	14297	38918
403	14329	38873
404	14398	38930
405	14453	38946
406	14516	38983
407	14554	38953
408	14592	38926
409	14628	38890
410	14655	38831
411	14680	38766
412	14708	38710
413	14739	38664
414	14774	38628
415	14803	38574
416	14833	38525
417	14874	38503
418	14908	38462
419	14944	38427
420	14974	38377
421	14997	38312
422	15029	38265
423	15062	38225
424	15098	38189
425	15126	38135
426	15154	38082
427	15181	38024
428	15206	37963
429	15240	37923
430	15267	37867
431	15297	37819
432	15334	37788
433	15365	37740
434	15396	37695
435	15432	37660
436	15469	37629
437	15508	37602
438	15549	37580
439	15586	37548
440	15615	37497
441	15655	37474
442	15699	37459
443	15755	37471
444	15813	37490
445	15876	37520
446	15915	37492
447	15968	37497
448	16006	37466
449	16037	37420
450	16067	37371
451	16098	37325
452	16125	37269
453	16154	37220
454	16177	37154
455	16214	37121
456	16240	37065
457	16275	37029
458	16303	36975
459	16333	36928
460	16365	36885
461	16397	36841
462	16430	36800
463	16468	36769
464	16503	36733
465	16535	36690
466	16565	36643
467	16593	36591
468	16624	36545
469	16651	36491
470	16680	36442
471	16709	36392
472	16739	36345
473	16774	36310
474	16806	36266
475	16831	36208
476	16865	36171
477	16900	36133
478	16925	36076
479	16955	36030
480	16990	35993
481	17023	35954
482	17056	35913
483	17085	35865
484	17115	35818
485	17151	35784
486	17177	35730
487	17207	35683
488	17237	35638
489	17268	35595
490	17305	35562
491	17339	35524
492	17368	35477
493	17408	35451
494	17438	35406
495	17464	35350
496	17494	35306
497	17524	35259
498	17559	35225
499	17595	35191
500	17621	35137
501	17656	35101
502	17678	35040
503	17711	35001
504	17746	34965
505	17774	34915
506	17800	34864
507	17830	34817
508	17859	34772
509	17902	34752
510	17930	34703
511	17962	34662
512	17989	34611
513	18015	34558
514	18047	34517
515	18077	34474
516	18108	34430
517	18133	34377
518	18166	34338
519	18196	34292
520	18222	34241
521	18251	34194
522	18282	34152
523	18310	34104
524	18343	34067
525	18381	34037
526	18416	34003
527	18453	33971
528	18480	33922
529	18516	33888
530	18546	33844
531	18572	33792
532	18605	33755
533	18634	33709
